file,total_features,polygon_features,multipolygon_features,geometrycollection_with_polygons,features_with_polygon_any
data2/120322312.geojson,938,938,0,0,938
data2/120322321.geojson,39862,39862,0,0,39862
data2/120322323.geojson,42233,42233,0,0,42233
data2/120322330.geojson,75559,75559,0,0,75559
data2/120322331.geojson,42321,42321,0,0,42321
data2/120322332.geojson,104116,104116,0,0,104116
data2/120322333.geojson,181951,181951,0,0,181951
data2/120323220.geojson,173,173,0,0,173
data2/120323222.geojson,267563,267563,0,0,267563
data2/120323223.geojson,426684,426684,0,0,426684
data2/120323232.geojson,51172,51172,0,0,51172
data2/120323233.geojson,75728,75728,0,0,75728
data2/120323321.geojson,35136,35136,0,0,35136
data2/120323322.geojson,78594,78594,0,0,78594
data2/120323323.geojson,156539,156539,0,0,156539
data2/120323330.geojson,72251,72251,0,0,72251
data2/120323331.geojson,65352,65352,0,0,65352
data2/120323332.geojson,91277,91277,0,0,91277
data2/120323333.geojson,54627,54627,0,0,54627
data2/120332203.geojson,824,824,0,0,824
data2/120332212.geojson,10,10,0,0,10
data2/120332220.geojson,40456,40456,0,0,40456
data2/120332221.geojson,76052,76052,0,0,76052
data2/120332222.geojson,79066,79066,0,0,79066
data2/120332223.geojson,69260,69260,0,0,69260
data2/120332230.geojson,48534,48534,0,0,48534
data2/120332231.geojson,33617,33617,0,0,33617
data2/120332232.geojson,80400,80400,0,0,80400
data2/120332233.geojson,149187,149187,0,0,149187
data2/120332322.geojson,155183,155183,0,0,155183
data2/120332323.geojson,56730,56730,0,0,56730
data2/120332333.geojson,36540,36540,0,0,36540
data2/120333222.geojson,45534,45534,0,0,45534
data2/120333223.geojson,34550,34550,0,0,34550
data2/120333231.geojson,1,1,0,0,1
data2/120333232.geojson,32003,32003,0,0,32003
data2/120333233.geojson,49827,49827,0,0,49827
data2/120333320.geojson,2734,2734,0,0,2734
data2/120333322.geojson,59314,59314,0,0,59314
data2/120333323.geojson,14345,14345,0,0,14345
data2/122100101.geojson,75804,75804,0,0,75804
data2/122100102.geojson,8177,8177,0,0,8177
data2/122100103.geojson,65485,65485,0,0,65485
data2/122100110.geojson,69851,69851,0,0,69851
data2/122100111.geojson,36495,36495,0,0,36495
data2/122100112.geojson,102836,102836,0,0,102836
data2/122100113.geojson,104330,104330,0,0,104330
data2/122100120.geojson,480,480,0,0,480
data2/122100121.geojson,82130,82130,0,0,82130
data2/122100123.geojson,16613,16613,0,0,16613
data2/122100130.geojson,129526,129526,0,0,129526
data2/122100131.geojson,160966,160966,0,0,160966
data2/122100132.geojson,151271,151271,0,0,151271
data2/122100133.geojson,123313,123313,0,0,123313
data2/122100301.geojson,66459,66459,0,0,66459
data2/122100303.geojson,5894,5894,0,0,5894
data2/122100310.geojson,391215,391215,0,0,391215
data2/122100311.geojson,173218,173218,0,0,173218
data2/122100312.geojson,211409,211409,0,0,211409
data2/122100313.geojson,272977,272977,0,0,272977
data2/122100330.geojson,48702,48702,0,0,48702
data2/122100331.geojson,159555,159555,0,0,159555
data2/122100332.geojson,79319,79319,0,0,79319
data2/122100333.geojson,65454,65454,0,0,65454
data2/122101000.geojson,14484,14484,0,0,14484
data2/122101001.geojson,368452,368452,0,0,368452
data2/122101002.geojson,130453,130453,0,0,130453
data2/122101003.geojson,279098,279098,0,0,279098
data2/122101010.geojson,251871,251871,0,0,251871
data2/122101011.geojson,279131,279131,0,0,279131
data2/122101012.geojson,105962,105962,0,0,105962
data2/122101013.geojson,55532,55532,0,0,55532
data2/122101020.geojson,85225,85225,0,0,85225
data2/122101021.geojson,92616,92616,0,0,92616
data2/122101022.geojson,73597,73597,0,0,73597
data2/122101023.geojson,88722,88722,0,0,88722
data2/122101030.geojson,93258,93258,0,0,93258
data2/122101031.geojson,121962,121962,0,0,121962
data2/122101032.geojson,48650,48650,0,0,48650
data2/122101033.geojson,66860,66860,0,0,66860
data2/122101100.geojson,189761,189761,0,0,189761
data2/122101101.geojson,78469,78469,0,0,78469
data2/122101102.geojson,37257,37257,0,0,37257
data2/122101103.geojson,56917,56917,0,0,56917
data2/122101110.geojson,56443,56443,0,0,56443
data2/122101111.geojson,64853,64853,0,0,64853
data2/122101112.geojson,277621,277621,0,0,277621
data2/122101113.geojson,73921,73921,0,0,73921
data2/122101120.geojson,49240,49240,0,0,49240
data2/122101121.geojson,51329,51329,0,0,51329
data2/122101122.geojson,53426,53426,0,0,53426
data2/122101123.geojson,40515,40515,0,0,40515
data2/122101130.geojson,175545,175545,0,0,175545
data2/122101131.geojson,97267,97267,0,0,97267
data2/122101132.geojson,64207,64207,0,0,64207
data2/122101133.geojson,62063,62063,0,0,62063
data2/122101200.geojson,126902,126902,0,0,126902
data2/122101201.geojson,105579,105579,0,0,105579
data2/122101202.geojson,172682,172682,0,0,172682
data2/122101203.geojson,167165,167165,0,0,167165
data2/122101210.geojson,80302,80302,0,0,80302
data2/122101211.geojson,144465,144465,0,0,144465
data2/122101212.geojson,81162,81162,0,0,81162
data2/122101213.geojson,107257,107257,0,0,107257
data2/122101220.geojson,100790,100790,0,0,100790
data2/122101221.geojson,95882,95882,0,0,95882
data2/122101222.geojson,120180,120180,0,0,120180
data2/122101223.geojson,121498,121498,0,0,121498
data2/122101230.geojson,68507,68507,0,0,68507
data2/122101231.geojson,87163,87163,0,0,87163
data2/122101232.geojson,94165,94165,0,0,94165
data2/122101233.geojson,257160,257160,0,0,257160
data2/122101300.geojson,93314,93314,0,0,93314
data2/122101301.geojson,51086,51086,0,0,51086
data2/122101302.geojson,68236,68236,0,0,68236
